review_id,product_id,review,rating
R68837,P22082,Very elegant dress.My Friends liked it very much. 💯👌,5
R97971,P22082,"Beautiful kurti ,,",5
R22394,P22082,Osm tq so much fabric is good.. 🌸Must buy..,5
R29493,P14486,Jst wow,3
R57937,P14486,Beautiful Fabric.. Loved It,5
R30915,P14486,Awesome kurti,4
R66392,P14486,Soft stuff awesome for summer. Stylish wear same as the shown in the pic. Good fitted.,5
R83043,P14486,Awesome kurti hai 👌👌👌👌👌,5
R66029,P14486,Nice clothes and very thankful,5
R75282,P14486,NYC product in this price range,4
R34687,P14486,Nice kurti....same as it,5
R79067,P14486,Same as shown in picture,5
R76150,P14486,Nice n comfortable n exact design,4
R54310,P87571,Cute outfit ❤️,5
R97058,P87571,It's so beautiful ...I loved it ...must buy ❤️🤍,5
R30476,P87571,Amazing,5
R98069,P87571,I just love it.,4
R52742,P87571,Product is really awesome....just go for it without any hesitation...,5
R76979,P87571,"Amazing ❤❤❤ ,, I love it... Just go for it❤❤❤❤❤",5
R87966,P87571,Very beautiful dress ❤️🥰😍 I love it 💕 thank you,5
R42143,P87571,Must buy❤️,5
R12705,P87571,So good ☺️ so happy with this dress nyc product at this price,5
R76795,P87571,Supop product nd material is also good 👍 I love this dress😊❤️,5
R42646,P80231,Nice dress + nice design ☺❤✨,5
R15721,P80231,Maxi is superb at this price.But height is longer than expected.,5
R97013,P80231,its really beautiful dresses..i like it❤️,5
R95654,P80231,Nice,5
R33153,P80231,Excellent,4
R59208,P80231,Very elegant dress.My Friends liked it very much. 💯👌,5
R69651,P80231,"Beautiful kurti ,,",5
R78009,P80231,Osm tq so much fabric is good.. 🌸Must buy..,5
R58500,P80231,Very good👍,5
R67416,P80231,So pretty 😍😊,5
R74602,P24373,Very thin material. Good for summers though. Fitting is too good. Looks nice. Overall for the price a great deal.,3
R19254,P24373,Beautiful dress...!! Thank you Flipkart if you have a medium size go for a large !!,5
R59860,P24373,The dress is so beautiful 😍,5
R73444,P24373,"I love this dress, thank you Flipkart",4
R81185,P24373,Nice,3
R34373,P24373,"Product is very good .trendy .best for summer , a bit long , but it's good 💌",4
R35176,P24373,Fabric is not good but good,3
R73881,P24373,Amazing❤❤jst go for it......,5
R39264,P24373,Waww very nice 😍😍,3
R83031,P24373,Guys i just only wanted to say that just go for it don't think twice it's the best dress ever i got from Flipkart,5
R41629,P87132,Superb dress and Quality👌,5
R81129,P87132,Wonderful dress and very comfortable. Fitting is commendable . In love with this dress,5
R74012,P87132,i just love it 😃☺️😂,5
R13688,P87132,"Thanks I got my parcel very good quality, perfect size and beautiful dress",5
R83830,P87132,beautiful dress,5
R89555,P87132,Beautiful dress i loved it,5
R68458,P87132,Amazing dress,3
R30666,P87132,Good product 👍,5
R88707,P87132,Nice 👍🙂,5
R40952,P87132,I order for my friend and she also loved it  she's looking pretty Very nice dress material is good Price is affordable,5
R44278,P33504,Perfect fitting very nice quality dress also a good colour of clothe.,5
R84515,P33504,Go for it,5
R95713,P33504,Just go for it ❤️❤️love it 💓,5
R43793,P33504,Looks classy,5
R77872,P33504,Awsm,5
R63157,P33504,Go for it,4
R37247,P33504,Lovely dress...simple but attractive,5
R27610,P33504,Such an amazing😍🤩 Dress .. Love ❤it ❤,5
R26935,P33504,Nyc one but maybe I'll return it because of size issue,5
R38017,P33504,Really it's a amazing product and stuff is also good but I have a little size problem 😅otherwise dress is awesome,5
